dimension,family,representative_raw_labels,manual_finding,status
creation,drive_cut_or_roll,Driving Layup Shot; Cutting Dunk Shot; Alley Oop Layup shot,the raw wording explicitly supports motion toward the rim but does not distinguish drive cut and roll,provisional
creation,pull_up_or_self_created,Pullup Jump shot; Running Pull-Up Jump Shot; Step Back Jump shot,the raw wording supports self-created pull-up or step-back action,provisional
creation,putback,Putback Layup Shot; Putback Dunk Shot; Tip Layup Shot,the raw wording supports a rebound-following creation family but event linkage should confirm tips,provisional
creation,other_or_unknown,Jump Shot; Running Jump Shot; Hook Shot; Turnaround Fadeaway shot,these finishes do not prove spot-up transition or post creation,retain_unknown
finish,dunk,Dunk Shot; Cutting Dunk Shot; Alley Oop Dunk Shot,dunk wording is direct,provisional
finish,layup,Layup Shot; Driving Layup Shot; Finger Roll Layup Shot,layup and finger-roll wording is direct,provisional
finish,floater,Floating Jump shot; Driving Floating Jump Shot,float wording is direct although provider spelling and capitalization vary,provisional
finish,hook,Hook Shot; Driving Hook Shot; Turnaround Bank Hook Shot,hook wording is direct while creation remains separate,provisional
finish,regular_jumper,Jump Shot; Pullup Jump shot; Jump Bank Shot,jumper is the finish and pull-up stays available on the creation axis,provisional
finish,fadeaway_or_turnaround,Fadeaway Jump Shot; Turnaround Jump Shot; Turnaround Fadeaway shot,the combined family avoids sparse overlapping labels,provisional
finish,step_back,Step Back Jump shot; Step Back Bank Jump Shot,step-back remains a requested finish family and also supplies an explicit self-created cue,provisional
