protocol_version,field_or_concept,role,m0,m1,leakage_class,decision
context_m0_m1_protocol_v0.1.0,field_goal_made,response,RESPONSE,RESPONSE,outcome,"likelihood only; never predictor"
context_m0_m1_protocol_v0.1.0,point_value,predictor_and_conversion,ALLOW,ALLOW,pre_shot,"fixed two-versus-three effect in make formula and multiplier for expected points"
context_m0_m1_protocol_v0.1.0,player_id,predictor,ALLOW,ALLOW,identifier,"iid pooled random intercept; private identifier never exported"
context_m0_m1_protocol_v0.1.0,finish_family,predictor,BLOCK,ALLOW,pre_shot,"M1 league-wide additive effect using taxonomy v0.1.0"
context_m0_m1_protocol_v0.1.0,creation_family,predictor,BLOCK,ALLOW,pre_shot,"M1 league-wide additive effect; other_or_unknown retained"
context_m0_m1_protocol_v0.1.0,season,split_and_report,BLOCK,BLOCK,split_metadata,"defines chronology and reporting; no model coefficient"
context_m0_m1_protocol_v0.1.0,game_id,split_and_resample,BLOCK,BLOCK,identifier,"whole-game separation and paired bootstrap only"
context_m0_m1_protocol_v0.1.0,team_id,descriptive,BLOCK,BLOCK,identifier,"team changes do not update the player effect"
context_m0_m1_protocol_v0.1.0,loc_x_or_loc_y,predictor,BLOCK,BLOCK,pre_shot,"reserved for M2 or later"
context_m0_m1_protocol_v0.1.0,shot_distance,predictor,BLOCK,BLOCK,pre_shot,"reserved for M2"
context_m0_m1_protocol_v0.1.0,period_or_game_clock,predictor,BLOCK,BLOCK,pre_shot,"reserved for M3"
context_m0_m1_protocol_v0.1.0,home_away_or_score_margin,predictor,BLOCK,BLOCK,verified_pre_shot,"reserved for M3"
context_m0_m1_protocol_v0.1.0,player_by_family,predictor,BLOCK,BLOCK,derived_interaction,"reserved for M4"
context_m0_m1_protocol_v0.1.0,raw_action_type,audit_only,BLOCK,BLOCK,pre_shot,"used only by frozen taxonomy mapping"
context_m0_m1_protocol_v0.1.0,raw_play_by_play_text,audit_only,BLOCK,BLOCK,contains_outcome,"may contain result or assist; never a predictor"
context_m0_m1_protocol_v0.1.0,realized_field_goal_points,response_derived,BLOCK,BLOCK,outcome,"metric target only"
context_m0_m1_protocol_v0.1.0,post_shot_score_or_final_result,predictor,BLOCK,BLOCK,post_shot_leakage,"prohibited"
context_m0_m1_protocol_v0.1.0,free_throws_or_shot_trip_value,response_future,BLOCK,BLOCK,later_outcome,"reserved for M5"
context_m0_m1_protocol_v0.1.0,volume_capacity_or_future_role,predictor,BLOCK,BLOCK,future_information,"reserved for M6"
