check_id,passed,detail
three_registered_windows,TRUE,three expanding historical windows
training_seasons_exact,TRUE,registered seasons only
validation_seasons_sealed,TRUE,2023-24 through 2025-26 outcomes remain unopened by this runner
m1_artifacts_verified,TRUE,three exact M1 hashes and structures matched
first_m2_artifact_verified,TRUE,first-window M2 preflight hash matched
later_m2_not_prefit,TRUE,later-window M2 fits remain future fit-once work
m2_minus_m1_sign,TRUE,negative favors M2
paired_bootstrap_seed,TRUE,2000 whole-game samples; seed 20260914
d1_cannot_select,TRUE,argument ignored by selection helper
prospective_guard,TRUE,2026-27 rejected in every mode
authorization_required,TRUE,private per-comparison authorization file required
no_existing_attempt,TRUE,"no access marker, lock, result, or partial evaluation"
