source,field_or_group,grain,seasons_audited,missingness_or_coverage,known_before_outcome,linkable_to_same_attempt,aggregate_only,definition_drift_risk,outcome_leakage_risk,requires_proprietary_tracking,audit_disposition
NBA ShotChartDetail,game and event keys,field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,low,low,no,use
NBA ShotChartDetail,player and team identifiers,field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,low,low,no,use
NBA ShotChartDetail,period and game clock,field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,low,low,no,use
NBA ShotChartDetail,home and visitor teams,game attached to field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,low,low,no,use to derive opponent and home or road
NBA ShotChartDetail,shot coordinates and distance,field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,medium,low,no,use after coordinate checks
NBA ShotChartDetail,two or three point value,field-goal attempt,2021-22 through 2025-26,complete in local extracts,yes,yes,no,low,low,no,use
NBA ShotChartDetail,raw action type,field-goal attempt,2021-22 through 2025-26,complete in local extracts,partly,yes,no,medium,medium,no,use as raw finish evidence; do not infer unavailable creation context
NBA ShotChartDetail,make or miss,field-goal attempt,2021-22 through 2025-26,complete in local extracts,no,yes,no,low,high,no,target only
NBA PlayByPlayV3,event key and action order,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,yes,yes,no,medium,low,no,preferred linkage key after acquisition validation
NBA PlayByPlayV3,period clock team and player,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,yes,yes,no,medium,low,no,use after reconciliation
NBA PlayByPlayV3,score home and away,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,event score is post-event and must be lagged,yes,no,medium,high,no,derive score before event with audited ordering
NBA PlayByPlayV3,action type subtype and description,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,mixed,yes,no,high,medium,no,preserve raw; version mapping
NBA PlayByPlayV3,field-goal result,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,no,yes,no,medium,high,no,target or reconciliation only
NBA PlayByPlayV3,fouls free throws and rebounds,event,feasible for all five seasons but official endpoint was not acquired in this audit,unknown until acquisition,no,yes,no,high,high,no,target construction only after sequence validation
hoopR load_nba_pbp,ESPN play-by-play archive,event,2021-22 through 2025-26,all 6150 shot-chart games except one 2025-26 game crosswalked,mostly,89.24 percent of shot-chart attempts matched uniquely by player and clock,no,high,mixed,no,audit and fallback source only; not independent ground truth
hoopR nba_pbp,NBA PlayByPlayV3 access wrapper,event,current endpoint coverage not established,direct request failed in this audit,mixed,designed for same-event access,no,high,mixed,no,access tool only
nba_api,ShotChartDetail and PlayByPlayV3 wrappers,event or field-goal attempt,endpoint dependent,package not installed locally,mixed,designed for same-event access,no,high,mixed,no,access tool only; no installation in this audit
pbpstats,enhanced event and possession parser,event and possession,source dependent,package not installed locally,mixed,yes after its rules succeed,no,high,mixed,no,parser not ground truth; evaluate only in a later approved pilot
NBA tracking dashboards,catch and shoot pull-up dribbles touch time and shot-clock bins,player-season-bin,public dashboard queries appear feasible but were not downloaded,aggregate coverage must be audited,yes,no,yes,high,medium,no,descriptive validation only; never fabricate a joint shot row
NBA tracking dashboards,closest-defender bins,player-season-bin,public dashboard queries appear feasible but were not downloaded,aggregate coverage must be audited,yes,no,yes,high,medium,tracking-derived but publicly summarized,descriptive validation only
NBA Synergy play types,play type possession and efficiency,player-season-play-type,public endpoint schema available but five-season completeness not downloaded,aggregate coverage must be audited,mixed,no,yes,high,high,underlying detailed labels are proprietary,descriptive validation only; not a shot-level join
Public play-by-play derivation,transition and second chance,event sequence,possible only after possession logic is validated,not measured,yes,yes,no,high,medium,no,conditional future derivation
Public play-by-play derivation,lineup,event interval,possible but substitutions and corrections require validation,not measured,yes,yes,no,high,medium,no,defer from first version
Public data,shot clock at individual attempt,field-goal attempt,not present in local shot chart or audited ESPN archive,unavailable,yes,no,no,high,low,likely tracking required,omit unless a joint shot-level source is verified
Public data,defender distance at individual attempt,field-goal attempt,not present in local shot chart or audited ESPN archive,unavailable,yes,no,no,high,low,yes for underlying measurement,omit; aggregate bins cannot be joined
Public data,fatigue and game situation beyond observed clock and score,field-goal attempt,not jointly available in audited sources,unavailable,mixed,no,no,high,high,partly,defer
